0,0,0
1,1,14
2,2,43
3,3,52
4,10,40
5,8,40
6,7,38
7,10,29
8,10,28
9,10,30
10,2,28
11,7,23
12,10,25
13,11,27
14,16,14
15,8,10
16,5,26
17,6,31
18,8,28
19,12,19
20,7,29
21,12,21
22,9,12
23,8,9
24,9,10
25,12,27
26,14,26
27,11,24
28,6,33
29,5,32
30,4,37
31,7,36
32,6,25
33,7,27
34,11,30
35,12,32
36,10,25
37,10,22
38,3,22
39,2,35
40,6,43
41,7,35
42,10,24
43,8,24
44,9,19
45,9,19
46,2,28
47,6,29
48,6,23
49,5,24
50,6,31
51,7,34
52,8,31
53,14,24
54,10,24
55,10,27
56,16,20
57,13,16
58,12,18
59,8,22
60,10,26
61,8,21
62,13,15
63,18,19
64,17,14
65,16,6
66,14,1
67,17,2
68,13,5
69,15,12
70,17,12
71,14,16
72,14,15
73,18,18
74,13,15
75,13,16
76,10,12
77,11,13
78,13,6
79,21,10
80,13,6
81,15,3
82,19,4
